title;content
Sơ cứu Vết thương bị đâm (Vật nhọn, dao, đạn);"Tuyệt đối không được rút vật nhọn ra khỏi cơ thể (nhất là ngực, bụng) vì nó đang có tác dụng bịt mạch máu; rút ra sẽ gây mất máu ồ ạt dẫn đến tử vong. Xử trí: 1. Để nguyên vật nhọn. 2. Ép mép vết thương sát với vật dị vật. 3. Đặt gạc/vải sạch xung quanh và băng cố định (có thể dùng vành khăn) để dị vật không xê dịch. 4. Đặt nằm tư thế nửa nằm - nửa ngồi. Gọi ngay 115."
Sơ cứu Vết thương bụng (Thủng, rách, không lòi ruột);1. Không cho nạn nhân ăn uống bất cứ thứ gì. 2. Đặt nằm tư thế nửa nằm nửa ngồi, chống 2 chân (đệm dưới khoeo chân) để giảm áp lực vùng bụng. 3. Dùng tay ép thận trọng hai mép vết thương, đắp gạc sạch và băng lại. 4. Nếu ho/nôn, dùng tay áp nhẹ lên vùng vết thủng để tránh lòi ruột. 5. Gọi 115 khẩn cấp.
Sơ cứu Vết thương bụng (Lòi ruột ra ngoài);Tuyệt đối không chạm vào hoặc cố đẩy ruột trở lại vào bụng. Xử trí: 1. Đặt miếng gạc hoặc vải sạch tẩm nước muối (1 thìa muối/1 lít nước chín) trùm lên phần ruột. Thường xuyên làm ẩm vết thương. 2. Có thể úp một cái bát sạch (đã luộc để nguội) lên vùng ruột rồi dùng băng cuộn quấn lỏng lại để bảo vệ. 3. Đặt nằm ngửa, kê cao khoeo chân. Không cho ăn uống. Gọi ngay 115.
Sơ cứu Vết thương ngực hở (Thủng lồng ngực);Triệu chứng: Nghe tiếng thở phì phò ở vết thương, sùi bọt hồng ở miệng vết thủng. Xử trí cấp bách để tránh xẹp phổi: 1. Dùng bàn tay bịt kín ngay miệng vết thương. 2. Đắp gạc/vải sạch lên. 3. Lấy một miếng nilon/giấy bóng phủ lên trên gạc, dùng băng dính dán kín các mép giấy bóng vào da để không khí không lọt vào. 4. Đặt nằm tư thế nửa nằm nửa ngồi, nghiêng về phía bên phổi bị thương. Gọi 115.
Sơ cứu Vết thương ngực (Gãy sườn, mảng sườn di động);Triệu chứng: Thành ngực di động bất thường (vào trong khi hít, ra ngoài khi thở), khó thở dữ dội. Xử trí: 1. Phải cố định ngay mảng sườn bằng cách ép một tấm vải gấp lại (hoặc túi nhỏ) lên phần ngực bị tổn thương và băng chặt lại (hoặc buộc tay nạn nhân ép vào ngực). 2. Đặt nạn nhân nửa nằm nửa ngồi, hơi nghiêng về bên bị thương. Cấp cứu 115 ngay. Lưu ý: Nếu gãy xương sườn thông thường, không băng quá chặt để tránh đầu xương đâm vào phổi.
Sơ cứu Vết thương đầu (Rách da, chảy nhiều máu);1. Dùng tay ép chặt 2 mép vết thương để cầm máu sơ bộ. 2. Đặt gạc/bông sạch lên và băng ép lại (có thể cắt bớt tóc xung quanh để dễ băng). 3. Theo dõi tri giác, nếu nạn nhân lơ mơ, bất tỉnh hoặc có đờm dãi phải hút thông đường thở và gọi cấp cứu ngay.
Sơ cứu Chấn thương sọ não (Vỡ sọ, lòi tổ chức não);"Tuyệt đối không bôi bất kỳ loại thuốc gì lên não. Xử trí: 1. Phủ nhẹ nhàng một miếng gạc vô khuẩn lên phần não phòi ra. 2. Dùng một ""vành khăn"" (cuộn vải hình vòng) đặt bao quanh phần não để bảo vệ. 3. Băng lỏng, tuyệt đối không băng ép chặt để tránh chèn ép não. Gọi cấp cứu 115 ngay lập tức."
Sơ cứu Gãy xương (Cẳng tay, cẳng chân, gãy hở thòi xương);Tuyệt đối không kéo, nắn, bẻ xương hoặc cố đẩy xương thòi ra vào trong vì sẽ gây sốc đau và đứt mạch máu. Xử trí: 1. Giữ nguyên tư thế lúc nạn nhân đang đau. 2. Nẹp tạm thời chỗ gãy bằng nẹp gỗ/nhựa/bìa cứng (nẹp phải dài qua 2 khớp trên và dưới ổ gãy). 3. Nếu gãy hở, đắp gạc sạch cầm máu xung quanh. 4. Khi vận chuyển phải có nhiều người nâng đồng bộ, không làm xê dịch vùng gãy.
Sơ cứu Vỡ cơ hoành (Chấn thương ngực bụng nặng);Triệu chứng: Chấn thương mạnh làm dạ dày, ruột chui lên ngực chèn ép tim phổi, khó thở dữ dội. Xử trí: Đặt nằm tư thế đầu cao (nửa nằm nửa ngồi) để tạo áp lực đẩy các tạng xuống, giúp bệnh nhân dễ thở hơn. Không cho ăn uống, chuyển ngay tới bệnh viện.
Sơ cứu bệnh nhân Hôn mê, Bất tỉnh (Tai nạn);1. Kiểm soát đường thở: Móc sạch dị vật, đất cát, đờm dãi trong miệng. Nếu ngưng thở phải hô hấp nhân tạo ngay. 2. Tư thế nằm: Nên nằm đầu cao để tránh suy hô hấp (trừ trường hợp huyết áp thấp hoặc chấn thương sọ não thì không kê đầu quá cao). 3. Vận chuyển: Cần 2-3 người nhấc bổng bệnh nhân theo tư thế nằm ngang, tuyệt đối không bế xốc bổng hay bế gập người. Gọi 115 chuyển đến bệnh viện.
Sơ cứu Vết thương bị đâm (Vật nhọn, dao, đạn);"Tuyệt đối không được rút vật nhọn ra khỏi cơ thể (nhất là ngực, bụng) vì nó đang có tác dụng bịt mạch máu; rút ra sẽ gây mất máu ồ ạt dẫn đến tử vong. Xử trí: 1. Để nguyên vật nhọn. 2. Ép mép vết thương sát với vật dị vật. 3. Đặt gạc/vải sạch xung quanh và băng cố định (có thể dùng vành khăn) để dị vật không xê dịch. 4. Đặt nằm tư thế nửa nằm - nửa ngồi. Gọi ngay 115."
Sơ cứu Vết thương bụng (Thủng, rách, không lòi ruột);1. Không cho nạn nhân ăn uống bất cứ thứ gì. 2. Đặt nằm tư thế nửa nằm nửa ngồi, chống 2 chân (đệm dưới khoeo chân) để giảm áp lực vùng bụng. 3. Dùng tay ép thận trọng hai mép vết thương, đắp gạc sạch và băng lại. 4. Nếu ho/nôn, dùng tay áp nhẹ lên vùng vết thủng để tránh lòi ruột. 5. Gọi 115 khẩn cấp.
Sơ cứu Vết thương bụng (Lòi ruột ra ngoài);Tuyệt đối không chạm vào hoặc cố đẩy ruột trở lại vào bụng. Xử trí: 1. Đặt miếng gạc hoặc vải sạch tẩm nước muối (1 thìa muối/1 lít nước chín) trùm lên phần ruột. Thường xuyên làm ẩm vết thương. 2. Có thể úp một cái bát sạch (đã luộc để nguội) lên vùng ruột rồi dùng băng cuộn quấn lỏng lại để bảo vệ. 3. Đặt nằm ngửa, kê cao khoeo chân. Không cho ăn uống. Gọi ngay 115.
Sơ cứu Vết thương ngực hở (Thủng lồng ngực);Triệu chứng: Nghe tiếng thở phì phò ở vết thương, sùi bọt hồng ở miệng vết thủng. Xử trí cấp bách để tránh xẹp phổi: 1. Dùng bàn tay bịt kín ngay miệng vết thương. 2. Đắp gạc/vải sạch lên. 3. Lấy một miếng nilon/giấy bóng phủ lên trên gạc, dùng băng dính dán kín các mép giấy bóng vào da để không khí không lọt vào. 4. Đặt nằm tư thế nửa nằm nửa ngồi, nghiêng về phía bên phổi bị thương. Gọi 115.
Sơ cứu Vết thương ngực (Gãy sườn, mảng sườn di động);Triệu chứng: Thành ngực di động bất thường (vào trong khi hít, ra ngoài khi thở), khó thở dữ dội. Xử trí: 1. Phải cố định ngay mảng sườn bằng cách ép một tấm vải gấp lại (hoặc túi nhỏ) lên phần ngực bị tổn thương và băng chặt lại (hoặc buộc tay nạn nhân ép vào ngực). 2. Đặt nạn nhân nửa nằm nửa ngồi, hơi nghiêng về bên bị thương. Cấp cứu 115 ngay. Lưu ý: Nếu gãy xương sườn thông thường, không băng quá chặt để tránh đầu xương đâm vào phổi.
Sơ cứu Vết thương đầu (Rách da, chảy nhiều máu);1. Dùng tay ép chặt 2 mép vết thương để cầm máu sơ bộ. 2. Đặt gạc/bông sạch lên và băng ép lại (có thể cắt bớt tóc xung quanh để dễ băng). 3. Theo dõi tri giác, nếu nạn nhân lơ mơ, bất tỉnh hoặc có đờm dãi phải hút thông đường thở và gọi cấp cứu ngay.
Sơ cứu Chấn thương sọ não (Vỡ sọ, lòi tổ chức não);"Tuyệt đối không bôi bất kỳ loại thuốc gì lên não. Xử trí: 1. Phủ nhẹ nhàng một miếng gạc vô khuẩn lên phần não phòi ra. 2. Dùng một ""vành khăn"" (cuộn vải hình vòng) đặt bao quanh phần não để bảo vệ. 3. Băng lỏng, tuyệt đối không băng ép chặt để tránh chèn ép não. Gọi cấp cứu 115 ngay lập tức."
Sơ cứu Gãy xương (Cẳng tay, cẳng chân, gãy hở thòi xương);Tuyệt đối không kéo, nắn, bẻ xương hoặc cố đẩy xương thòi ra vào trong vì sẽ gây sốc đau và đứt mạch máu. Xử trí: 1. Giữ nguyên tư thế lúc nạn nhân đang đau. 2. Nẹp tạm thời chỗ gãy bằng nẹp gỗ/nhựa/bìa cứng (nẹp phải dài qua 2 khớp trên và dưới ổ gãy). 3. Nếu gãy hở, đắp gạc sạch cầm máu xung quanh. 4. Khi vận chuyển phải có nhiều người nâng đồng bộ, không làm xê dịch vùng gãy.
Sơ cứu Vỡ cơ hoành (Chấn thương ngực bụng nặng);Triệu chứng: Chấn thương mạnh làm dạ dày, ruột chui lên ngực chèn ép tim phổi, khó thở dữ dội. Xử trí: Đặt nằm tư thế đầu cao (nửa nằm nửa ngồi) để tạo áp lực đẩy các tạng xuống, giúp bệnh nhân dễ thở hơn. Không cho ăn uống, chuyển ngay tới bệnh viện.
Trình tự cấp cứu chấn thương (ABCDE);Khảo sát nạn nhân chấn thương theo 5 bước: A (Airway): Kiểm tra đường thở, kéo lưỡi, cố định cột sống cổ nếu nghi ngờ chấn thương. B (Breathing): Đánh giá hô hấp, băng kín vết thương ngực hở. C (Circulation): Cầm máu, đánh giá mất máu qua màu da, mạch đập. D (Disability): Đánh giá tri giác (tỉnh, đáp ứng tiếng gọi, kích thích đau, hôn mê). E (Exposure): Cởi bỏ quần áo để tìm tổn thương bỏ sót, giữ ấm cơ thể. Đặt tư thế nằm nghiêng an toàn nếu hôn mê.
Sơ cứu ngưng tim ngưng thở ở trẻ em (Nhi khoa);CPR ở trẻ em có khác biệt: 1. Đánh giá tri giác, mở đường thở (với trẻ nhỏ chỉ để cổ ở tư thế trung gian, không ngửa quá mức). 2. Nếu không thở, thổi ngạt 5 nhịp ban đầu (miệng người cứu bao trùm cả miệng và mũi trẻ nhỏ). 3. Ép tim: Dùng gót 1 bàn tay (với trẻ <8 tuổi) hoặc 2 ngón tay (trẻ sơ sinh), ấn sâu 1/3 lồng ngực ở nửa dưới xương ức. 4. Tỉ lệ 30 ép tim : 2 thổi ngạt, tốc độ 100-120 lần/phút.
Sơ cứu Hóc dị vật ở trẻ sơ sinh và trẻ nhỏ (Dưới 2 tuổi);Tuyệt đối không móc họng mù. Xử trí: 1. Đặt trẻ nằm sấp dọc theo cánh tay hoặc trên đùi, đầu thấp hơn ngực. 2. Dùng gót bàn tay vỗ mạnh 5 lần vào lưng (giữa 2 xương bả vai). 3. Nếu dị vật chưa ra, lật ngửa trẻ lại, dùng 2 ngón tay ấn mạnh 5 lần vào nửa dưới xương ức. 4. Luân phiên 5 vỗ lưng - 5 ấn ngực đến khi dị vật bật ra. Nếu trẻ bất tỉnh, chuyển sang ép tim thổi ngạt (CPR).
Phân biệt và sơ cứu Chảy máu động mạch, tĩnh mạch;1. Chảy máu tĩnh mạch/mao mạch: Máu rỉ hoặc chảy đều, dễ kiểm soát bằng cách ấn đè gạc sạch. 2. Chảy máu động mạch: Máu đỏ tươi, phun thành tia theo nhịp tim, cực kỳ nguy hiểm. Xử trí: Nhanh chóng dùng gạc hoặc tay trần ấn đè trực tiếp với lực rất mạnh lên vết thương. Nâng cao chi bị chảy máu. Nếu máu thấm ướt gạc, tuyệt đối không lấy gạc cũ ra mà đắp thêm gạc mới đè lên. Gọi cấp cứu 115 ngay lập tức.
Sơ cứu vết thương do Chó, Mèo, Súc vật cắn;Vết thương do súc vật cắn có nguy cơ cao nhiễm trùng, uốn ván và bệnh dại. Xử trí: 1. Ấn mạnh để cầm máu nếu chảy máu nhiều. 2. Rửa thật sạch vết thương bằng xà phòng và nước ấm dưới vòi nước chảy dội liên tục. 3. Lau khô, dùng gạc vô khuẩn băng kỹ lại. 4. Đưa nạn nhân đến cơ sở y tế để tiêm phòng huyết thanh kháng dại và uốn ván. Nhốt và theo dõi con chó/mèo đã cắn trong ít nhất 15 ngày.
Sơ cứu Ngộ độc lá ngón;Triệu chứng: Đau bụng, sụp mi, chói mắt, yếu liệt cơ hàm (rớt hàm dưới), khó thở, co giật. Xử trí: Đây là loại ngộ độc chết người cực nhanh (từ 1-7 giờ). Nếu phát hiện sớm và nạn nhân CÒN TỈNH: Lập tức cho uống thật nhiều nước rồi móc họng để kích thích gây nôn chất độc ra ngoài. Nhanh chóng chuyển ngay đến cơ sở y tế để rửa dạ dày, uống than hoạt tính và cấp cứu suy hô hấp.
Sơ cứu Ngộ độc nấm độc (Nấm lục, nấm tán da báo);Triệu chứng: Nôn mửa, đau bụng, ảo giác, co giật. Ngộ độc nấm lục có thể ủ bệnh từ 6-40 giờ mới phát tác gây suy gan, suy thận. Xử trí: 1. Nếu mới ăn trong vòng 1-2 giờ, nạn nhân tỉnh: Kích thích gây nôn. 2. Cho uống than hoạt tính (1g/kg cân nặng) và uống bù dung dịch Oresol. 3. Giữ lại mẫu nấm thừa hoặc chất nôn để mang tới bệnh viện. 4. Đưa ngay nạn nhân đến cơ sở y tế tuyến tỉnh/trung ương có khả năng lọc máu.
Sơ cứu Vết phồng rộp da (Blister) do cọ xát/bỏng nhẹ;Tuyệt đối không tự ý chọc vỡ bóng nước (trừ khi bác sĩ chỉ định) vì màng phồng rộp là hàng rào bảo vệ tự nhiên, chọc vỡ sẽ làm tăng nguy cơ nhiễm trùng uốn ván. Xử trí: Rửa sạch vùng phồng rộp bằng xà phòng và nước sạch, vỗ khô nhẹ nhàng. Dùng một miếng gạc vô trùng che phủ hoàn toàn nốt phồng và dán băng keo xung quanh mép (không dán trực tiếp lên nốt phồng).
Sơ cứu Vết thương trên trán / da đầu;Đặc điểm vùng đầu mặt có rất nhiều mạch máu nên dù vết cắt nhỏ cũng chảy máu rất nhiều. Xử trí: 1. Đặt gạc sạch đè ép lực mạnh trực tiếp lên vết thương. 2. Giúp nạn nhân nằm xuống, kê cao phần đầu và vai. 3. Theo dõi sát tri giác (tỉnh táo hay lơ mơ) để phát hiện chấn thương sọ não. Nếu máu chảy không ngừng hoặc có dịch trong suốt chảy ra từ mũi/tai, gọi 115 khẩn cấp.
Sơ cứu Hóc dị vật ở người lớn và trẻ > 5 tuổi (Heimlich);1. Nếu nạn nhân còn ho được: Khuyến khích tiếp tục ho, tuyệt đối không vỗ lưng. 2. Nếu không ho được, mặt tím tái (Nạn nhân còn tỉnh): Đứng phía sau, dùng gót bàn tay vỗ mạnh 5 lần vào giữa 2 xương bả vai. Nếu không ra, chuyển sang ấn bụng (Heimlich): Vòng 2 tay ôm quanh bụng nạn nhân (trên rốn, dưới mũi ức), nắm tay lại thành nắm đấm, giật mạnh từ trước ra sau và từ dưới lên trên 5 lần. Luân phiên 5 vỗ lưng - 5 ấn bụng. 3. Nếu nạn nhân bất tỉnh: Đỡ nằm ngửa xuống sàn, gọi 115 và tiến hành ép tim ngoài lồng ngực (CPR). Trước mỗi lần thổi ngạt, kiểm tra miệng xem dị vật có trồi lên không để gắp ra.
Sơ cứu ngưng tim ngưng thở ở người lớn (CPR);Quy trình ép tim thổi ngạt ở người lớn: 1. Đặt nạn nhân nằm ngửa trên mặt phẳng cứng. Mở thông đường thở bằng cách ngửa đầu, nâng cằm. 2. Đặt gót một bàn tay vào nửa dưới xương ức (giữa ngực), tay kia chồng lên trên, đan các ngón tay lại. 3. Giữ thẳng khuỷu tay, ép vuông góc xuống ngực sâu khoảng 5 cm. Tốc độ ép nhanh: 100-120 lần/phút. 4. Thực hiện theo tỉ lệ: 30 lần ép tim : 2 lần thổi ngạt (khi thổi nhớ bịt mũi nạn nhân). 5. Không ngừng ép tim cho đến khi nạn nhân tỉnh lại, tự thở được hoặc khi có nhân viên y tế 115 đến tiếp quản.
